uid,clientID,previous_read,current_read,amount,total,status,reading_date,due_date,date_created,date_updated
1C3CDZCB0DN253240,1LNHL9DR0BG709637,9309.8,9339.3,29.5,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1C3CDZCB9DN298192,4T1BD1EB9EU213246,7219.2,7228.6,9.4,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1C4RDHAG0CC355050,1FMJU1G55AE063995,8161.9,8189.7,27.8,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1C4RDHAG1EC654081,3GYFNFE38ES115604,7903.6,7919.6,16,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1C4RJEAG0CC713934,WAUJC68E83A557684,4281.5,4292.9,11.4,1000,false,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1C4RJEAG2EC767285,1G6AR5S35F0859840,9319.9,9335.4,15.5,1000,false,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1C6RD7LP8CS391184,1C6RD7FPXCS067701,4012.3,4021.1,8.8,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1D4PT4GK1AW003138,WAUVFAFH2DN072511,9494.6,9520.9,26.3,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1D4PU7GXXBW921367,3C6JD6EP1CG131415,2592.4,2620.9,28.5,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1D4RD3GG3BC779169,WAUJC68E83A557684,4131.8,4153.8,22,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1D4RE2GG2BC696002,19UUB2F52FA755844,3946.1,3972.8,26.7,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1D7CE3GK8AS832186,JM3TB2BA7D0018677,8121.2,8132.9,11.7,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1D7CE3GK9AS619991,5N1AZ2MG0FN251038,3285.1,3306.3,21.2,1000,true,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1D7CW3BK4AS233676,1FMJU1G55AE063995,8032.7,8046.1,13.4,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1D7RB1CP0BS141728,JA32U1FU6AU969954,8794.1,8825.5,31.4,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1D7RB1CP6AS593570,1N6AA0EC2FN095139,7308.9,7318.4,9.5,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1D7RB1GK3BS864567,WAUBGAFB1BN958280,3332.1,3351.4,19.3,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1D7RB1GK7BS131387,3GYFNFE38ES115604,5339.4,5348.1,8.7,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1D7RE5GK6AS041628,JH4NA126X1T823673,8660.1,8670.9,10.8,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1D7RV1CP2AS960519,2G4WE587771346969,8255.6,8287.5,31.9,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1D7RV1CT1BS968223,JA32U1FU6AU969954,8703,8716.7,13.7,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1D7RV1CT5BS671603,WAUSH98E77A264534,4122.7,4146.1,23.4,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1D7RV1CT6BS926260,JTHBW1GG6E2344894,2482.3,2511.6,29.3,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FADP3E25DL725564,WDDHF0EB7EB886296,6193.9,6223.2,29.3,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1FAHP3FN1AW023083,JN8AE2KP3F9275785,9249.9,9273.8,23.9,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1FBNE3BL1CD098793,1FTSW2B58AE032921,6518.6,6545.1,26.5,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FBNE3BL9DD871110,3C6JR6CT8DG608215,5524.9,5552.7,27.8,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1FMCU0C71BK045782,5UXWX5C52BL162397,9921.4,9937.4,16,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1FMCU0C78CK448577,1C6RD7FPXCS067701,4038.8,4053.1,14.3,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1FMCU0E72AK547695,WAUWFAFH8DN635713,7993.5,8006.1,12.6,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1FMCU0E77AK921170,WAUSH98E77A264534,4179.1,4200.7,21.6,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1FMCU5K34AK658036,KMHGC4DD4CU684277,8327.7,8337.3,9.6,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1FMEU6DEXAU929733,1G4PS5SKXC4160299,8930.9,8947,16.1,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1FMEU6EE0AU045198,5XYKT3A61FG281183,5030.2,5042.4,12.2,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FMEU6FE6AU028047,WAUWFAFH8DN635713,3930,3949.4,19.4,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1FMHK7B81CG281254,19UYA41783A267731,7582.7,7610.4,27.7,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FMJK1F5XDE968762,5NPEB4AC8BH831736,3664.7,3690.3,25.6,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1FMJK1G52AE669387,WAUAFAFL6AN331242,2884.3,2897.4,13.1,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1FMJK1G57EE693173,19UUB2F52FA755844,8775.5,8807,31.5,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1FMJK1H53DE580706,JH4DC54823C137416,7303.1,7334.8,31.7,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1FMJK1H57BE600176,WAUDH94F06N676180,8523.4,8529.7,6.3,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1FMJK1JT8FE987609,JM3KE2BE1E0587192,7983.1,7992.8,9.7,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1FMNE1BW9AD689182,1C6RD7FPXCS067701,3972.8,3991,18.2,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FTEW1C80AK475274,1G6DM8E36D0662889,7721,7752.3,31.3,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1FTEW1C80AK655998,SCFEBBEL6DG709948,5787.6,5819.5,31.9,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1FTEW1C83AK627483,1FTEW1C8XFK447005,8946,8970.2,24.2,1000,false,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1FTEW1CF8FK255211,WAUGFBFCXEN068601,9063.5,9072.4,8.9,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FTEW1CFXFK692739,WAUSF98K69A157229,6772.9,6788.1,15.2,1000,false,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1FTEW1CM3DF104491,1FTEW1C8XFK447005,9088.5,9111.4,22.9,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1FTEW1CM6CK491849,JM3KE2BE1E0587192,5824.6,5851.4,26.8,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FTEW1CMXCF197492,JM1NC2EF8A0758739,8867.3,8891.9,24.6,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1FTEW1CW5AF446764,WAU3VAFR9CA275758,7179.6,7196.2,16.6,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1FTEW1E82AF358513,5N1AR2MM0FC290147,9064.4,9072.8,8.4,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1FTEW1E83AF954696,5N1AZ2MG0FN251038,3140.5,3155,14.5,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1FTEX1CM1BK573080,5XYKT3A14DG220489,6108.9,6140.9,32,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FTEX1CM1BK768063,1GYS4UKJ5FR204673,5735.8,5754.9,19.1,1000,false,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1FTEX1CM5CF302632,JN8AZ2KR2ET462006,7459.1,7468.1,9,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1FTEX1CV0AF034627,5NPEB4AC8BH831736,3690.3,3705.1,14.8,1000,false,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1FTEX1CW5AK470292,4T1BD1EB9EU213246,7228.6,7249.5,20.9,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1FTFW1E84AF797684,WAUSF98K79A248767,1707.9,1714.3,6.4,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1FTFW1E84AK303119,19UUB2F52FA755844,8742.2,8769.7,27.5,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1FTFW1E85AF447142,WAUSF98K79A248767,1610.5,1617.8,7.3,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1FTFW1E89AF626381,1FMJU1G55AE063995,8004,8032.7,28.7,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1FTKR1AD9AP532052,5XYKT3A14DG220489,6170.5,6177.1,6.6,1000,false,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1FTMF1CW2AK891269,5UXFB53516L118265,7668.7,7686.6,17.9,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1FTMF1CWXAF590984,JA32U1FU6AU969954,8728,8740,12,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1FTMF1E81AF664372,3C63DRGL4CG140064,1971.5,1980.5,9,1000,false,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1FTMF1EW3AK552338,5UXFB53516L118265,7519.4,7550.8,31.4,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1FTSS3EL5AD261347,JA32U1FU6AU969954,8825.5,8846.3,20.8,1000,false,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1FTSW3A58AE249554,2G4WE587771346969,8292.7,8310.1,17.4,1000,false,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1FTSW3B50AE619216,2T1BURHE7FC721044,8797.6,8809.5,11.9,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1FTSW3B51AE959989,2G4WD582961946298,5958.6,5988.9,30.3,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1FTWW3A58AE030501,WAUBGAFB1BN958280,3351.4,3370.6,19.2,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1FTWW3A5XAE230702,WAUJC68E83A557684,4325.4,4335.1,9.7,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1FTWX3B51AE420108,1NXBE4EE0AZ827444,7510.9,7530,19.1,1000,true,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1FTWX3D53AE806882,1C6RD7FPXCS067701,6504.3,6518.6,14.3,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1G4CU541454913499,WAUNF98P58A379476,6135.2,6141.1,5.9,1000,false,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G4CW54KX54923473,1YVHZ8BH1B5551290,7880.9,7886.3,5.4,1000,false,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1G4GC5EC4BF401021,2G4WE587771346969,8400.7,8408.8,8.1,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G4GD5EG8AF123805,WAU3VAFR9CA275758,7005,7022.3,17.3,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1G4GF5G31CF943800,WAUSF98K69A157229,6682.6,6706.5,23.9,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1G4GG5E39DF687052,WAUSH98E77A264534,4159.6,4165.4,5.8,1000,false,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G4GG5G32DF008140,WAUSF98K79A248767,1746.3,1756.3,10,1000,true,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1G4GJ5E30CF304678,WBAVC73548K924757,3550.3,3582.3,32,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1G4GJ5E31DF112610,JA32U1FU6AU969954,8645.8,8677.4,31.6,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1G4GL5G39DF525740,5N1AA0NCXAN541769,6620.4,6631.7,11.3,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1G4HC5EMXAU433334,WAUSF98K69A157229,6851.3,6870.4,19.1,1000,true,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1G4HJ5EM2AU052048,WAUWFAFH8DN635713,7923.5,7950.3,26.8,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1G4HP54K334275832,1GYS3HKJXFR749066,5925.4,5948.8,23.4,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G4HP54K654126169,SCFEBBEL6DG709948,5866.1,5885.6,19.5,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1G4HP54K854089125,5GAKVBKD7FJ289310,8178.4,8184.5,6.1,1000,false,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G4HP54K854246345,SCFEBBCF0BG807982,10100.1,10119.6,19.5,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G4PR5SK7F4634936,1GYS4UKJ5FR204673,5709.3,5735.8,26.5,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1G4PT5SV8F4499171,1FBAX2CM7FK689477,3980.8,3990.9,10.1,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1G6AA5RX7F0275939,1G6DM8EG6A0876425,9484,9515.5,31.5,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G6AB5RX3F0727091,3N1CN7AP0EL211876,3700.9,3710.9,10,1000,false,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G6AE1R39F0911948,SAJWA1CB1BL074881,9872.3,9888.8,16.5,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6AE1RX8F0296831,WAU3VAFR9CA275758,7144,7162.2,18.2,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6AF5S39D0824742,JM1NC2EF8A0758739,4874.8,4906,31.2,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G6AH5R3XF0319294,1YVHZ8BH1B5551290,7855.8,7875.6,19.8,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1G6AH5S32F0079586,WAUVFAFH2DN072511,9615.2,9635.9,20.7,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6AH5S33F0704321,JN8AE2KP3F9275785,9207.5,9213.3,5.8,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G6AH5S39E0898240,WAUAFAFL6AN331242,2843.1,2855.8,12.7,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6AJ1RX5F0714998,2HNYD28688H455045,3853.8,3880.8,27,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6AJ5S30F0884524,WAUVFAFH2DN072511,9549,9554.8,5.8,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6AJ5SX3E0162093,WAUPL68E24A910643,8892.4,8907.2,14.8,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G6AL5SX3D0187794,1YVHZ8BH1B5551290,7961.5,7972.9,11.4,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G6AM5S30E0485084,1G6DM8EG6A0876425,9538.9,9561,22.1,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6AU5S80E0578778,1G4PS5SKXC4160299,9077.3,9105,27.7,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G6AU5S89F0570518,JN8AE2KP3F9275785,9129.3,9141.7,12.4,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1G6AV5S86E0965526,2HNYD28688H455045,3953.6,3973.5,19.9,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1G6AX5SX9E0910148,5LMJJ2J58EE745945,6751.9,6760.5,8.6,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1G6DA8E51D0491351,JH4DC54823C137416,6014.6,6033.3,18.7,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DA8EY8B0785529,JN8AE2KP3F9275785,9273.8,9289.6,15.8,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1G6DB8E53E0633701,1GYS4UKJ5FR204673,5971.5,5993.1,21.6,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1G6DC1E39E0937702,5XYKT3A14DG220489,6224.5,6249.9,25.4,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6DD67V790312519,19UYA41783A267731,7633.8,7644.4,10.6,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DE5EY6B0719094,1G6AR5S35F0859840,9253.7,9259.1,5.4,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DE8E52D0346792,3N1AB7AP0FL342064,5718.8,5734,15.2,1000,true,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1G6DE8E59D0904668,1G4PR5SK2E4176351,6074.5,6081,6.5,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G6DE8EY5B0875855,1LNHL9DR0BG709637,9112.1,9121.1,9,1000,true,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G6DG5E55D0086297,1D7RV1CT7AS968127,7458.4,7468.6,10.2,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1G6DG8E39E0810509,WAUBGAFB1BN958280,3370.6,3392.4,21.8,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DH577780834713,JN8AZ2KR2ET462006,8886.9,8898.5,11.6,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1G6DK5E39C0665417,SAJWJ2GD4F8692092,9785.1,9812.8,27.7,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G6DL1E37D0619673,1G6AR5S35F0859840,9196.5,9222.9,26.4,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1G6DL1ED9B0921228,1FTSW2A57AE002486,6036.9,6044.7,7.8,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DL5E38D0862478,WAUSF98K79A248767,1782.4,1811.9,29.5,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G6DL5EGXA0856065,JM3TB2BA7D0018677,8063.3,8073.7,10.4,1000,true,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1G6DM57N240352073,WBXPA93465W043487,1840.7,1848.6,7.9,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DM5EV1A0286730,1G6DM8E36D0662889,7684.6,7700.9,16.3,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1G6DP1E31C0202987,WAUDG98E25A142298,6051.8,6068.3,16.5,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1G6DS57V580441809,SCFEBBEL6DG709948,5968.6,5998.5,29.9,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G6DS8EV4A0609935,1FTEW1C8XFK447005,8891.9,8907.3,15.4,1000,false,2022-12-10,2022-12-18,2024-01-21,2024-01-21
1G6DU6EV5A0567855,3N1CE2CP0FL750127,6720.8,6737.8,17,1000,true,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1G6DV1EP1C0173659,1C6RD7FPXCS067701,4007.2,4012.3,5.1,1000,true,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6DV1EP4E0505404,5GAKVBKD7FJ289310,8167.3,8178.4,11.1,1000,false,2023-03-10,2023-03-18,2024-01-21,2024-01-21
1G6DV1EP7B0132144,1FTSW2A57AE002486,6106.5,6121.2,14.7,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6DV8EP1C0245615,5GAKVBKD7FJ289310,8240.9,8271.2,30.3,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G6ET12982B417732,3GYFK66N33G862178,7522,7529.5,7.5,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1G6KD54Y55U172330,3GYFK66N33G862178,9879.4,9905.9,26.5,1000,true,2023-09-10,2023-09-18,2024-01-21,2024-01-21
1G6KD57Y48U971838,1C6RD6JT9CS017998,9391.1,9407.3,16.2,1000,false,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1G6KD57Y52U024637,3N1CN7AP0EL211876,3678.5,3693.2,14.7,1000,false,2023-02-10,2023-02-18,2024-01-21,2024-01-21
1G6KD57Y73U896660,JH4CU2F43EC280718,1607.4,1622.2,14.8,1000,false,2023-04-10,2023-04-18,2024-01-21,2024-01-21
1G6KE57Y14U259312,1G4PS5SKXC4160299,9062.7,9077.3,14.6,1000,true,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G6KY54913U765354,1D7RV1CT7AS968127,7493.8,7524,30.2,1000,false,2023-07-10,2023-07-18,2024-01-21,2024-01-21
1G6KY54943U886069,WAUNF98P58A379476,6117.4,6135.2,17.8,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1G6YV36A775487560,1FTEW1C8XFK447005,9048.8,9059.3,10.5,1000,true,2023-06-10,2023-06-18,2024-01-21,2024-01-21
1G6YV36A875737954,1FMCU4K33AK158735,7348.3,7371.8,23.5,1000,false,2023-01-10,2023-01-18,2024-01-21,2024-01-21
1GD01ZCG3DF365345,JTHKD5BH3C2553004,8607.9,8632.7,24.8,1000,true,2022-11-10,2022-11-18,2024-01-21,2024-01-21
1GD021EG4FZ666154,JH4CU2F43EC280718,1642.3,1656.5,14.2,1000,false,2023-05-10,2023-05-18,2024-01-21,2024-01-21
1GD021EG4FZ820359,JH4CU2F47CC548151,4281.1,4304.2,23.1,1000,false,2023-08-10,2023-08-18,2024-01-21,2024-01-21
1GD021EGXFZ224530,WBAVC73548K924757,3612.2,3629.9,17.7,1000,true,2023-07-10,2023-07-18,2024-01-21,2024-01-21
